id,api,# completed (subtask level),# completed (notes),techDiff,has-concept,has-fact,has-template,What information or strategies did you find most helpful?,What additional information would you have wanted?,Notes,Annotations,Nothing,Documentation,Code,TMI,Time,Search,PrevKnowledge,Experiment,PL knowledge,InfoFromDebugger,Other notes
2,D3,0,0,FALSE,FALSE,FALSE,FALSE,"Nothing in this task I found really helpful, although[?]","I really wish [?] the basic style cheetsheet / syntax of all the function would be provided, because 2 often times [don't know?] how to get started. Lost of syntax & functions I'm not that familiar with, & haven't seen before",0,F-W-Sp,N-U,,,,,,,,,,Style-want
3,D3,0.1,0,FALSE,TRUE,TRUE,FALSE,"I couldn't solve first problem, so I didn't even get to work on the rest. I try to find insights from the original ""index.js"" to figure out how to append.","The problem for me is I didn't know where and how to start. My logic when I saw the task was to select an element, and insert the text, and mutate the variables and data. But really, I did not where to start.",0,,,,TC-U,,,,,,,,
4,D3,Exclude,(task 1 done w/ html change),FALSE,FALSE,TRUE,FALSE,* Playing around w/ the source code * detailed tasks,(I was not able to read the example code as it was very difficult to understand compared to the previous ones. * Comments would be useful (both sets of codes) * Facts were not very useful w/o the templates * Example code was unfortunately useless to me.,(task 1 done w/ html change),T-W F-X,,TD-U,TC-U EC-X EC-Cm-W TC-Cm-W,,,,,,,,
5,D3,Exclude,"Missed 2 of first task, then continued",FALSE,FALSE,FALSE,FALSE,"""- this source code was pretty straight forward - example code was also useful""","""- documentation relevant to the source code (not JSON) - any documentation""",0,,,D-W,TC-U EC-U,,,,,,,,
6,D3,0.3,0,FALSE,TRUE,FALSE,FALSE,"""- Reading the annotated example code, this was useful because it described what certain functions were doing - Inspecting the page after changes""","""- Descriptions of each D3 function (ex: d3.json, d3.hierarchy) - Mainly just wanted more time.""",0,C-U F-W-Sp,,,,,Ti-W,,,Exp-U,,,
7,D3,1.2,0,FALSE,TRUE,TRUE,TRUE,I found the template the most helpful,The word descriptions aren't easily searchable. Looking for the title wasn't searchable but it gave me information about the append function which I didn't need instead.,0,T-U F-X,,,,,,S-W,,,,,
8,D3,1.1,0,FALSE,FALSE,FALSE,TRUE,I was able to find an example of what I needed once,"Description of roels of attributes, functions, objects, etc.",0,F-W-Sp,,,EC-U,,,,,,,,
9,D3,Exclude,html,FALSE,FALSE,FALSE,FALSE,Messing around with some of the hardcoded numbers to see the reference of each line. Following the example code and how it generated the example output (This was very draining however).,Some annotations regarding node.js functions and classes in the HTML section of the example code.,0,"A-W
",,,EC-U,,,,,Exp-U,,,
10,D3,Exclude,html,FALSE,FALSE,FALSE,FALSE,Look at the sample code and find the ones that achieve the similar task as I was asked to do. Do some experiment with the task code and sample code and see what happens.,Explanations of the sample code! eg. what does .attr and .append do; how to set spaces between circles.,0,F-W-Sp,,HT-W,EC-U,,,,,Exp-U,,,
11,D3,Exclude,html,FALSE,FALSE,FALSE,TRUE,Facts. Definitions were key since the code Annotated was vastly different from the Task code,Information provided [?] adequate enough. But API requires really strong pre-requisite knowledge of Javascript as it was hard to grasp.,0,T-U,,,,,,,,,PL-W,,
